top - 15:53:35 up 54 min,  1 user,  load average: 0,23, 0,73, 0,97
Tasks: 191 total,   1 running, 145 sleeping,   0 stopped,   0 zombie
%Cpu0  : 23,3 us,  1,8 sy,  1,5 ni, 73,3 id,  0,2 wa,  0,0 hi,  0,0 si,  0,0 st
%Cpu1  : 23,5 us,  1,6 sy,  0,3 ni, 74,2 id,  0,2 wa,  0,0 hi,  0,1 si,  0,0 st
%Cpu2  : 22,9 us,  2,4 sy,  0,2 ni, 74,3 id,  0,2 wa,  0,0 hi,  0,1 si,  0,0 st
%Cpu3  : 24,3 us,  1,8 sy,  0,3 ni, 73,4 id,  0,2 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 11322608 total,  7586080 free,  2111376 used,  1625152 buff/cache
 1523 dushn     20   0  206972   5256   4764 S   0,0  0,0   0:01.30 at-spi2-re+
 1527 dushn     20   0  276068   6540   5780 S   0,0  0,1   0:00.08 gvfsd
 1534 dushn     20   0  406864   4852   4384 S   0,0  0,0   0:00.01 gvfsd-fuse
 1536 dushn     20   0  265796   6516   5972 S   0,0  0,1   0:00.00 ibus-dconf
 1538 dushn     20   0  447732  28976  24084 S   0,0  0,3   0:02.33 ibus-ui-gt+
 1542 dushn     20   0  429236  21564  18204 S   0,0  0,2   0:02.36 ibus-x11
 1560 dushn     20   0  189920   5576   5236 S   0,0  0,0   0:02.00 ibus-engin+
 1695 dushn     20   0  168068    724    452 S   0,0  0,0   0:00.08 gpg-agent
 1698 whoopsie  20   0  373956  12280  10672 S   0,0  0,1   0:00.04 whoopsie
 1707 root      20   0   17468   1800   1664 S   0,0  0,0   0:00.00 agetty
 1729 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 iprt-VBoxW+
 1732 root      20   0       0      0      0 S   0,0  0,0   0:00.00 iprt-VBoxT+
 1788 dushn     20   0  748232  71316  33200 S   0,0  0,6   0:27.25 hud-service
 1790 dushn     20   0  896028  31340  24528 S   0,0  0,3   0:01.92 unity-sett+
 1803 dushn     20   0  632160  15036  12900 S   0,0  0,1   0:00.14 gnome-sess+
 1819 dushn     20   0  536148  32912  24748 S   0,0  0,3   0:12.22 unity-pane+
 1849 root      20   0  309212   8444   7484 S   0,0  0,1   0:00.04 upowerd
 1870 dushn     20   0  355952   7232   6444 S   0,0  0,1   0:00.06 indicator-+
 1871 dushn     20   0  408656   5780   5236 S   0,0  0,1   0:00.01 indicator-+
